year,gdp,consumption,investment,public_exp
1955,2570940.993874576,1225392.3976546794,541616.583967665,521866.2281517051
1956,2536640.741842856,1212130.0820133046,815923.8699848737,445524.3173135841
1957,2644641.7455053055,1266542.4069471322,842135.4028547846,429814.4767146303
1958,2891118.5085745445,1436699.5251898242,730815.5562287064,484262.1244654821
1959,3120765.0758955437,1515580.318854313,1001026.5977096956,551655.8372602813
1960,3264787.1215728293,1551325.2599937639,1209478.8978135183,553019.966420863
1961,3793375.288509719,1776284.2202369682,1652978.3955487097,646540.1530271186
1962,4034846.2300324016,2019010.230579847,1367547.9288309063,793291.0541071754
1963,4382500.474318399,2076751.0093185205,1585036.7924677213,815299.4864711821
1964,4916131.736231082,2329046.809094806,1740043.4853582745,886552.1287925628
1965,5099192.729243778,2422703.3923619445,1632701.7844226118,927721.4982551298
1966,5577679.195047654,2549873.231883487,1698321.8790481573,1035068.8556983253
1967,6201853.828815721,2680423.199886016,2293231.0852083648,1122912.2416442
1968,6928218.538628155,3071071.3358406103,2693547.681985869,1261370.160306578
1969,8047178.066357888,3486474.6945433193,3082719.7021778817,1453830.9795242636
1970,8934660.901391076,3800163.0435891887,3655443.2616917486,1659167.7293848137
1971,9652711.15158833,4129545.7933010077,3552273.623631397,1989418.622830768
1972,10377179.886300232,4482811.577468384,3721865.3459442575,2211363.201702075
1973,10883051.140564686,4562499.235192796,4337107.883515787,2183318.7566445554
1974,10289274.2307872,4762958.758483987,3946114.7261361466,2289859.0115269898
1975,10721901.818208676,5453366.767690539,3361980.9556347467,2453531.958754319
1976,11804527.825235754,5700894.048771294,3088765.1865421566,2489611.371562727
1977,12053118.82217214,5926698.564545373,2758025.4160715407,2665714.232567959
1978,12580944.974273864,6118904.358845652,2614887.7916288823,2741114.8853323534
1979,13143878.49036662,6172768.798425392,3197843.177839291,2808708.665083285
1980,12704499.26178514,6320607.3936151005,3246590.006034548,2942274.246881741
1981,13184476.660113078,6567523.170792234,3124499.1354026943,3086600.4174769577
1982,13492933.06100367,6981965.680603325,3021328.190707563,3033863.478047734
1983,14068398.621275572,7229266.652070273,2682081.5424816534,3045592.4969967287
1984,14693332.441412073,7364610.665884213,3025184.6206749007,3126197.1597986887
1985,14930369.048764827,7620884.5966462875,3364547.8226403827,3027410.21440318
1986,15309973.200175384,7917317.996290969,3550086.6968006133,3194326.558042936
1987,16307429.55191325,8195009.629205328,4002287.3372792522,3248070.0085586337
1988,17751567.78699382,8610611.336223714,4792366.998704899,3377619.8020516606
1989,18445842.82198467,8751523.86902379,5614411.061431422,3519971.3013408626
1990,19351452.77514684,8942444.280135335,5893129.4135667095,3815641.296785504
1991,19887828.091619052,9446607.20301285,5887720.552155275,4072058.47826551
1992,19836799.83507379,9567223.307074932,5284268.417343724,4130791.2594991256
1993,20130929.345468055,9856994.163455807,5054368.678272841,4476320.016803571
1994,19415760.131502368,9735175.620315047,4620654.160031363,4551525.441773976
1995,20856918.645402715,9889248.861891702,6333674.900326162,5643347.534076035
1996,21732657.0,10420973.295791592,5825095.472771779,5359576.680169819
1997,21193983.0,10436218.241420455,5050504.489499141,4991685.44468846
1998,20348388.0,10386361.890635032,4165052.671513365,4650936.817953952
1999,20023358.0,10512906.535839437,3640355.000321023,4853929.141993547
2000,20381209.0,10629521.348227127,3588317.2230675556,4748239.1273400225
2001,19657402.0,10894665.710314022,3470027.261785423,4732811.847695522
2002,19779523.0,11015321.018906679,3171368.0203652745,4638820.977749978
2003,19754392.0,11203624.53959343,3323460.3210329427,4619714.149973066
2004,20225620.0,11376054.109526658,3539902.410346754,4706384.647508543
2005,20862158.0,11671019.784849318,4025784.3291147985,4817225.361697281
2006,21531232.0,11748985.785318917,4560870.691765396,4608718.126192531
2007,21383338.0,12057412.429231893,4522630.806356821,4689928.285644847
2008,21340483.0,12129156.260468647,4332043.294852147,4687046.157573006
2009,20079577.0,12123981.426462458,3354508.5652673286,4942794.265543085
2010,21722116.21374198,12237438.025896363,3683952.009640707,5449077.470652215
2011,21709091.902004432,13029886.386262525,4089880.730913805,5430020.446158959
2012,21525971.08600894,12952538.89631816,3880154.4061979167,5308691.575792648
2013,22298510.192750104,13810621.482052531,4163277.9989423617,5625427.785973048
2014,22689265.769731,13797089.087711228,4053334.5223963745,5537245.329696512
2015,23967630.186313257,14119881.02431221,4255695.489039656,5823782.439387735
2016,24560079.491784412,14353366.700665547,4829903.0345567325,6027967.165912418
2017,24851027.977240555,14354134.106611798,4911229.978063995,5985039.160237157
2018,25229707.37133142,14646509.64605076,4910862.825677665,6065347.4594522035
